,compound,create_date,negative,neutral,news_media,positive,tweets_ago
60,0.0,2018-03-20 17:58:43+00:00,0.0,1.0,CBS,0.0,-60
61,0.5562,2018-03-20 16:52:42+00:00,0.0,0.826,CBS,0.174,-61
62,0.0,2018-03-20 16:11:00+00:00,0.0,1.0,CBS,0.0,-62
63,0.7845,2018-03-19 21:02:26+00:00,0.072,0.619,CBS,0.309,-63
64,0.0,2018-03-18 23:44:30+00:00,0.0,1.0,CBS,0.0,-64
65,0.6514,2018-03-18 18:05:43+00:00,0.0,0.787,CBS,0.213,-65
66,0.1867,2018-03-18 17:09:53+00:00,0.0,0.92,CBS,0.08,-66
67,0.0,2018-03-17 19:00:02+00:00,0.0,1.0,CBS,0.0,-67
68,0.6166,2018-03-17 17:42:43+00:00,0.0,0.839,CBS,0.161,-68
69,0.7096,2018-03-17 14:00:03+00:00,0.0,0.753,CBS,0.247,-69
70,0.296,2018-03-16 22:53:21+00:00,0.0,0.896,CBS,0.104,-70
71,0.0,2018-03-16 18:15:53+00:00,0.0,1.0,CBS,0.0,-71
72,0.6514,2018-03-16 16:28:40+00:00,0.0,0.822,CBS,0.178,-72
73,0.7088,2018-03-15 17:54:06+00:00,0.0,0.763,CBS,0.237,-73
74,-0.4939,2018-03-15 17:20:26+00:00,0.157,0.766,CBS,0.077,-74
75,0.6514,2018-03-15 16:42:41+00:00,0.0,0.806,CBS,0.194,-75
76,0.6115,2018-03-15 14:32:16+00:00,0.0,0.734,CBS,0.266,-76
77,0.6696,2018-03-14 19:30:01+00:00,0.0,0.781,CBS,0.219,-77
78,0.3612,2018-03-13 18:48:52+00:00,0.0,0.857,CBS,0.143,-78
79,0.539,2018-03-13 14:15:10+00:00,0.0,0.821,CBS,0.179,-79
80,0.2244,2018-03-12 18:13:28+00:00,0.0,0.917,CBS,0.083,-80
81,0.0,2018-03-12 01:20:43+00:00,0.0,1.0,CBS,0.0,-81
82,0.4926,2018-03-09 22:48:26+00:00,0.0,0.883,CBS,0.117,-82
83,0.1275,2018-03-09 22:24:20+00:00,0.092,0.795,CBS,0.113,-83
84,0.4215,2018-03-09 21:10:21+00:00,0.0,0.823,CBS,0.177,-84
85,0.8658,2018-03-09 18:27:28+00:00,0.0,0.553,CBS,0.447,-85
86,0.0,2018-03-09 16:02:27+00:00,0.0,1.0,CBS,0.0,-86
87,0.8625,2018-03-08 18:00:49+00:00,0.0,0.664,CBS,0.336,-87
88,0.4926,2018-03-08 17:03:04+00:00,0.0,0.868,CBS,0.132,-88
89,-0.2023,2018-03-07 18:39:10+00:00,0.23,0.619,CBS,0.15,-89
90,0.0,2018-03-07 17:06:02+00:00,0.0,1.0,CBS,0.0,-90
91,0.6705,2018-03-06 18:10:59+00:00,0.0,0.756,CBS,0.244,-91
92,0.3818,2018-03-05 22:16:43+00:00,0.0,0.833,CBS,0.167,-92
93,0.4404,2018-03-04 08:05:26+00:00,0.0,0.884,CBS,0.116,-93
94,0.0,2018-03-03 20:55:20+00:00,0.0,1.0,CBS,0.0,-94
95,0.7096,2018-03-02 22:30:01+00:00,0.0,0.753,CBS,0.247,-95
96,0.7096,2018-03-02 20:30:01+00:00,0.0,0.718,CBS,0.282,-96
97,0.4939,2018-03-02 18:45:00+00:00,0.0,0.849,CBS,0.151,-97
98,-0.6981,2018-03-01 18:59:01+00:00,0.21,0.79,CBS,0.0,-98
99,0.4547,2018-03-01 18:12:57+00:00,0.092,0.749,CBS,0.159,-99
0,0.0,2018-04-09 20:19:46+00:00,0.0,1.0,CNN,0.0,0
1,0.4939,2018-04-09 19:59:45+00:00,0.0,0.868,CNN,0.132,-1
2,0.0,2018-04-09 19:52:46+00:00,0.0,1.0,CNN,0.0,-2
3,-0.4019,2018-04-09 19:39:14+00:00,0.174,0.731,CNN,0.096,-3
4,0.0,2018-04-09 19:33:53+00:00,0.0,1.0,CNN,0.0,-4
5,-0.4767,2018-04-09 19:27:43+00:00,0.154,0.846,CNN,0.0,-5
6,-0.6124,2018-04-09 19:18:26+00:00,0.217,0.783,CNN,0.0,-6
7,0.0,2018-04-09 19:10:07+00:00,0.0,1.0,CNN,0.0,-7
8,0.0,2018-04-09 19:00:45+00:00,0.192,0.58,CNN,0.228,-8
9,0.0,2018-04-09 19:00:06+00:00,0.0,1.0,CNN,0.0,-9
10,-0.7845,2018-04-09 18:59:12+00:00,0.331,0.669,CNN,0.0,-10
11,0.0,2018-04-09 18:51:32+00:00,0.0,1.0,CNN,0.0,-11
12,-0.802,2018-04-09 18:50:04+00:00,0.387,0.613,CNN,0.0,-12
13,0.6808,2018-04-09 18:40:04+00:00,0.0,0.781,CNN,0.219,-13
14,-0.0772,2018-04-09 18:30:10+00:00,0.075,0.925,CNN,0.0,-14
15,0.4767,2018-04-09 18:28:00+00:00,0.0,0.86,CNN,0.14,-15
16,-0.6705,2018-04-09 18:20:11+00:00,0.184,0.816,CNN,0.0,-16
17,-0.2263,2018-04-09 18:10:07+00:00,0.095,0.905,CNN,0.0,-17
18,0.0,2018-04-09 18:00:12+00:00,0.0,1.0,CNN,0.0,-18
19,0.0,2018-04-09 17:56:36+00:00,0.0,1.0,CNN,0.0,-19
20,0.2023,2018-04-09 17:50:03+00:00,0.0,0.913,CNN,0.087,-20
21,-0.6486,2018-04-09 17:40:10+00:00,0.261,0.739,CNN,0.0,-21
22,0.5379,2018-04-09 17:30:07+00:00,0.0,0.812,CNN,0.188,-22
23,-0.7096,2018-04-09 17:20:12+00:00,0.224,0.776,CNN,0.0,-23
24,0.0,2018-04-09 17:10:08+00:00,0.0,1.0,CNN,0.0,-24
25,-0.0258,2018-04-09 17:00:12+00:00,0.154,0.647,CNN,0.199,-25
26,-0.6705,2018-04-09 16:51:12+00:00,0.184,0.816,CNN,0.0,-26
27,0.0,2018-04-09 16:43:03+00:00,0.0,1.0,CNN,0.0,-27
28,-0.0772,2018-04-09 16:36:26+00:00,0.129,0.756,CNN,0.116,-28
29,-0.802,2018-04-09 16:24:03+00:00,0.366,0.551,CNN,0.083,-29
30,-0.4215,2018-04-09 16:15:27+00:00,0.216,0.69,CNN,0.095,-30
31,0.0,2018-04-09 16:06:04+00:00,0.0,1.0,CNN,0.0,-31
32,-0.5106,2018-04-09 16:00:37+00:00,0.155,0.845,CNN,0.0,-32
33,0.0,2018-04-09 15:51:28+00:00,0.0,1.0,CNN,0.0,-33
34,-0.802,2018-04-09 15:50:06+00:00,0.387,0.613,CNN,0.0,-34
35,-0.5423,2018-04-09 15:40:08+00:00,0.231,0.769,CNN,0.0,-35
36,0.0258,2018-04-09 15:30:10+00:00,0.059,0.876,CNN,0.064,-36
37,0.0,2018-04-09 15:20:12+00:00,0.0,1.0,CNN,0.0,-37
38,-0.4588,2018-04-09 15:12:03+00:00,0.16,0.84,CNN,0.0,-38
39,0.6808,2018-04-09 15:07:36+00:00,0.0,0.781,CNN,0.219,-39
40,-0.6597,2018-04-09 15:03:51+00:00,0.252,0.748,CNN,0.0,-40
41,0.6808,2018-04-09 14:47:09+00:00,0.0,0.781,CNN,0.219,-41
42,-0.1901,2018-04-09 14:31:06+00:00,0.077,0.923,CNN,0.0,-42
43,-0.4549,2018-04-09 14:21:53+00:00,0.153,0.847,CNN,0.0,-43
44,0.0,2018-04-09 14:20:03+00:00,0.0,1.0,CNN,0.0,-44
45,0.3182,2018-04-09 14:04:35+00:00,0.0,0.881,CNN,0.119,-45
46,0.0,2018-04-09 13:52:05+00:00,0.0,1.0,CNN,0.0,-46
47,0.128,2018-04-09 13:40:21+00:00,0.0,0.909,CNN,0.091,-47
48,-0.0772,2018-04-09 13:29:17+00:00,0.075,0.925,CNN,0.0,-48
49,-0.0258,2018-04-09 13:20:01+00:00,0.18,0.645,CNN,0.175,-49
50,-0.6597,2018-04-09 13:12:03+00:00,0.252,0.748,CNN,0.0,-50
51,-0.0018,2018-04-09 13:05:54+00:00,0.123,0.754,CNN,0.123,-51
52,-0.3612,2018-04-09 13:00:15+00:00,0.128,0.809,CNN,0.064,-52
53,0.0,2018-04-09 12:49:37+00:00,0.063,0.874,CNN,0.063,-53
54,0.6369,2018-04-09 12:45:10+00:00,0.0,0.704,CNN,0.296,-54
55,-0.0258,2018-04-09 12:38:55+00:00,0.154,0.647,CNN,0.199,-55
56,-0.25,2018-04-09 12:37:05+00:00,0.114,0.818,CNN,0.068,-56
57,0.0,2018-04-09 12:30:11+00:00,0.0,1.0,CNN,0.0,-57
58,0.0,2018-04-09 12:26:02+00:00,0.0,1.0,CNN,0.0,-58
59,0.0,2018-04-09 12:19:04+00:00,0.0,1.0,CNN,0.0,-59
60,-0.1226,2018-04-09 12:16:02+00:00,0.063,0.937,CNN,0.0,-60
61,0.0,2018-04-09 12:12:37+00:00,0.0,1.0,CNN,0.0,-61
62,-0.5106,2018-04-09 12:12:02+00:00,0.275,0.604,CNN,0.121,-62
63,0.0,2018-04-09 12:04:23+00:00,0.0,1.0,CNN,0.0,-63
64,0.0,2018-04-09 12:03:04+00:00,0.0,1.0,CNN,0.0,-64
65,-0.6597,2018-04-09 11:59:06+00:00,0.252,0.748,CNN,0.0,-65
66,0.0,2018-04-09 11:56:02+00:00,0.0,1.0,CNN,0.0,-66
67,0.5859,2018-04-09 11:51:07+00:00,0.0,0.759,CNN,0.241,-67
68,-0.3818,2018-04-09 11:44:06+00:00,0.178,0.822,CNN,0.0,-68
69,-0.5423,2018-04-09 11:39:27+00:00,0.231,0.769,CNN,0.0,-69
70,-0.6124,2018-04-09 11:38:04+00:00,0.417,0.583,CNN,0.0,-70
71,0.0,2018-04-09 11:31:05+00:00,0.0,1.0,CNN,0.0,-71
72,0.0,2018-04-09 11:30:06+00:00,0.0,1.0,CNN,0.0,-72
73,-0.6249,2018-04-09 11:26:30+00:00,0.186,0.814,CNN,0.0,-73
74,-0.1226,2018-04-09 11:26:19+00:00,0.066,0.934,CNN,0.0,-74
75,0.0,2018-04-09 11:26:05+00:00,0.0,1.0,CNN,0.0,-75
76,-0.6597,2018-04-09 11:20:03+00:00,0.318,0.568,CNN,0.114,-76
77,0.3182,2018-04-09 11:16:03+00:00,0.0,0.881,CNN,0.119,-77
78,0.0,2018-04-09 11:12:06+00:00,0.0,1.0,CNN,0.0,-78
79,-0.4588,2018-04-09 11:10:34+00:00,0.16,0.84,CNN,0.0,-79
80,0.0,2018-04-09 11:06:04+00:00,0.0,1.0,CNN,0.0,-80
81,-0.4019,2018-04-09 11:00:09+00:00,0.153,0.847,CNN,0.0,-81
82,-0.802,2018-04-09 10:58:02+00:00,0.444,0.556,CNN,0.0,-82
83,-0.3182,2018-04-09 10:52:06+00:00,0.246,0.628,CNN,0.126,-83
84,0.0,2018-04-09 10:50:07+00:00,0.0,1.0,CNN,0.0,-84
85,-0.4588,2018-04-09 10:46:04+00:00,0.25,0.75,CNN,0.0,-85
86,0.2263,2018-04-09 10:45:04+00:00,0.14,0.628,CNN,0.232,-86
87,-0.6249,2018-04-09 10:41:02+00:00,0.389,0.611,CNN,0.0,-87
88,0.0,2018-04-09 10:35:35+00:00,0.0,1.0,CNN,0.0,-88
89,0.0,2018-04-09 10:35:05+00:00,0.0,1.0,CNN,0.0,-89
90,0.0,2018-04-09 10:31:07+00:00,0.0,1.0,CNN,0.0,-90
91,-0.3182,2018-04-09 10:26:01+00:00,0.112,0.837,CNN,0.051,-91
92,0.0,2018-04-09 10:21:02+00:00,0.0,1.0,CNN,0.0,-92
93,-0.1655,2018-04-09 10:15:07+00:00,0.142,0.858,CNN,0.0,-93
94,-0.7096,2018-04-09 10:12:04+00:00,0.269,0.731,CNN,0.0,-94
95,0.3612,2018-04-09 10:06:04+00:00,0.0,0.828,CNN,0.172,-95
96,0.0,2018-04-09 09:59:03+00:00,0.0,1.0,CNN,0.0,-96
97,-0.1531,2018-04-09 09:57:23+00:00,0.071,0.929,CNN,0.0,-97
98,-0.5719,2018-04-09 09:52:58+00:00,0.236,0.764,CNN,0.0,-98
99,-0.25,2018-04-09 09:43:05+00:00,0.114,0.818,CNN,0.068,-99
0,0.3182,2018-04-09 06:18:01+00:00,0.0,0.753,fox,0.247,0
1,0.6705,2018-04-09 05:28:37+00:00,0.0,0.792,fox,0.208,-1
2,0.0952,2018-04-09 05:26:52+00:00,0.153,0.678,fox,0.169,-2
3,0.631,2018-04-09 04:52:52+00:00,0.0,0.795,fox,0.205,-3
4,0.0,2018-04-09 04:13:14+00:00,0.0,1.0,fox,0.0,-4
5,0.6705,2018-04-09 04:04:56+00:00,0.0,0.593,fox,0.407,-5
6,0.0,2018-04-09 04:02:08+00:00,0.0,1.0,fox,0.0,-6
7,0.0,2018-04-09 03:20:20+00:00,0.0,1.0,fox,0.0,-7
8,0.0,2018-04-09 03:19:53+00:00,0.0,1.0,fox,0.0,-8
9,0.4019,2018-04-09 03:13:12+00:00,0.0,0.876,fox,0.124,-9
10,0.0,2018-04-09 03:12:35+00:00,0.0,1.0,fox,0.0,-10
11,-0.296,2018-04-09 00:11:31+00:00,0.306,0.694,fox,0.0,-11
12,0.4588,2018-04-08 07:47:09+00:00,0.0,0.667,fox,0.333,-12
13,0.6369,2018-04-08 07:43:36+00:00,0.0,0.792,fox,0.208,-13
14,0.0,2018-04-08 03:48:10+00:00,0.0,1.0,fox,0.0,-14
15,-0.4927,2018-04-08 03:41:29+00:00,0.132,0.868,fox,0.0,-15
16,0.0,2018-04-08 01:59:40+00:00,0.0,1.0,fox,0.0,-16
17,0.8221,2018-04-08 01:15:33+00:00,0.0,0.116,fox,0.884,-17
18,-0.3612,2018-04-08 01:02:36+00:00,0.122,0.878,fox,0.0,-18
19,0.0,2018-04-08 00:59:51+00:00,0.0,1.0,fox,0.0,-19
20,-0.128,2018-04-08 00:59:39+00:00,0.092,0.837,fox,0.071,-20
21,0.0,2018-04-08 00:54:14+00:00,0.0,1.0,fox,0.0,-21
22,0.0,2018-04-08 00:50:34+00:00,0.0,1.0,fox,0.0,-22
23,0.0,2018-04-08 00:46:50+00:00,0.0,1.0,fox,0.0,-23
24,-0.25,2018-04-08 00:22:29+00:00,0.091,0.909,fox,0.0,-24
